"district_code","person_count","year"
3405,"188190",2015
3711,"144533",2008
3510,"117589",2002
3605,"109487",2020
3714,"120046",2008
3405,"184885",2010
3401,"54627",2013
3703,"213149",2014
3502,"131313",2015
3609,"104333",2019
3406,"68776",2016
3204,"96820",2011
3502,"132718",2011
3503,"124826",2001
3305,"71587",2019
3501,"102811",2013
3808,"128180",2022
3409,"93097",2001
3204,"97827",2013
3203,"151401",2002
3507,"86399",2015
3407,"73061",2007
3206,"104973",2014
3713,"114552",2020
3604,"79490",2015
3801,"89547",2021
3804,"152268",2002
3604,"78098",2006
3601,"94843",2013
3802,"209220",2001
3410,"54389",2020
3504,"92908",2022
3602,"166989",2022
3610,"118538",2017
3201,"97972",2017
3610,"115073",2021
3304,"72531",2003
3502,"135710",2008
3710,"113987",2006
3707,"110100",2000
9999,"1241664",2011
3503,"124249",2016
3203,"159984",2012
3607,"79333",2020
3610,"120486",2001
3607,"78861",2015
3805,"237940",2022
3407,"71915",2006
3608,"73004",2022
3609,"104847",2003
3807,"335425",2009
3804,"151870",2004
3709,"109223",2013
3211,"117554",2022
3702,"371399",2009
3301,"182323",2006
3608,"73452",2002
3601,"94915",2019
3805,"230607",2007
3302,"61155",2016
3401,"55796",2022
3506,"118966",2014
3712,"86093",2001
3510,"119519",2013
3714,"118456",2014
3303,"92752",2005
3706,"154873",2015
3804,"151398",2020
3607,"79238",2009
3307,"69496",2002
3402,"89855",2000
3207,"113503",2003
3712,"92735",2020
3406,"63193",2002
3611,"138038",2016
3203,"161621",2014
3809,"126668",2000
3307,"70906",2009
3508,"112049",2018
3705,"192599",2014
3607,"78397",2002
3809,"124745",2005
3201,"94652",2010
3211,"114002",2013
3704,"114701",2000
3712,"91325",2017
3505,"162348",2004
3205,"74850",2008
3212,"55389",2014
3505,"164955",2006
3706,"157176",2007
3402,"92168",2002
3609,"105103",2000
3606,"160974",2000
3211,"110371",2000
3807,"337752",2005
3611,"138011",2020
3402,"95301",2009
3707,"112707",2010
3702,"371371",2010
3409,"85200",2021
3405,"191599",2018
3601,"93692",2021
3711,"143814",2011
3407,"78007",2016
3808,"132662",2012
3508,"116797",2010
3604,"79375",2014
3404,"86853",2022
3301,"195903",2019
3706,"153943",2019
3403,"115328",2017
3707,"112930",2017
3201,"102228",2022
3706,"156894",2009
3205,"73602",2005
3306,"51470",2005
3711,"143745",2005
3704,"117576",2022
3306,"50712",2015
3308,"102497",2018
3601,"94826",2002
3202,"90168",2015
3501,"103300",2019
3712,"87103",2006
3502,"131699",2014
3811,"42399",2001
3711,"144314",2001
3508,"116836",2005
3605,"110322",2022
3409,"93113",2006
3205,"75370",2018
3608,"73123",2008
3708,"106692",2013
3605,"110869",2015
3211,"113631",2011
3506,"119177",2020
3608,"73341",2003
3210,"95580",2005
3209,"180945",2018
3406,"67888",2010
3405,"179330",2003
3705,"194865",2003
3607,"78400",2004
3712,"88688",2009
3601,"96079",2008
3409,"93320",2004
3410,"52725",2007
3202,"95058",2019
3202,"75632",2001
3610,"119766",2004
3504,"91949",2018
3302,"60096",2021
3405,"186077",2013
9999,"1275406",2021
3709,"109037",2014
3507,"85897",2003
3209,"109868",2003
3209,"127041",2007
3708,"104826",2020
3708,"106468",2014
